Slice,1.oib,10.oib,11.oib,2.oib,3.oib,4.oib,5.oib,6.oib,7.oib,8.oib,9.oib
1,304.6836,135.3738,127.8676,132.8729,230.2923,996.0461,195.9065,1302.4941,839.1333,123.8981,133.3245
2,2293.336,210.0372,305.167,130.5257,1654.5426,458.0799,1038.2094,623.2977,2435.1543,122.6611,134.6727
3,1890.8856,1641.6473,2185.6778,180.9391,1854.8322,263.7841,2173.7663,398.9694,1246.7975,167.2524,215.7835
4,1089.004,2964.4539,2668.5307,923.9821,856.5589,192.5751,1071.7909,264.6465,628.6951,325.233,1511.5236
5,577.5884,1607.7664,1424.0247,825.8029,396.1502,159.572,435.7718,183.6858,288.1827,2798.7725,2441.0689
6,406.2327,846.2679,602.0105,462.8297,276.0447,144.2848,241.2568,149.7486,211.8691,2081.2233,1095.2805
7,277.0428,488.0893,311.0466,281.9158,196.3018,137.2027,172.6434,138.0793,167.6191,1052.2011,576.9813
8,201.0584,278.1399,205.5979,190.1004,163.0487,134.0669,145.9451,132.1885,145.0179,389.8017,429.3337
9,168.0877,187.8125,167.4468,168.9229,149.3667,132.9802,135.536,130.5782,135.9358,217.448,309.1299
10,153.4166,151.5298,147.5627,159.3065,144.5995,133.1913,130.207,131.6386,132.0907,161.5853,227.7293
11,146.0237,136.3571,138.8891,148.8029,142.2923,134.9986,127.5329,132.1021,131.3685,142.2871,184.064
12,140.6217,129.7202,134.1461,146.457,142.7009,136.3723,125.8992,134.6088,132.1556,133.1553,162.253
13,138.4453,127.2812,131.794,146.457,142.594,138.1188,125.8331,138.1815,134.9951,128.3842,148.564
14,136.9209,126.3765,130.4594,147.7384,144.728,139.4234,126.068,141.1752,136.592,126.4313,138.5079
15,135.8307,127.0387,130.5383,152.1685,146.8674,141.5593,125.7654,144.9112,136.1241,125.0125,132.4705
16,136.0267,128.1399,131.6404,156.2581,148.7118,142.8234,126.3824,147.7832,135.5247,125.3245,129.0413
17,135.2086,128.128,133.3733,158.1971,149.6698,143.2317,127.5205,145.9466,131.4272,125.6657,126.2953
18,135.2247,129.6786,134.0149,158.9122,250.4162,143.4663,177.6151,147.0864,128.6735,127.5784,124.5984
19,135.3738,129.8051,133.4718,156.3082,1387.8038,140.7526,1041.4014,188.1537,126.2012,130.1096,123.7717
